period,E,EA,EAS,ind
0.01,-19538.229700756197,-19370.85830576701,-19337.27112778882,-21800.61871253722
0.03,-19462.266560153286,-19298.666521322895,-19264.25494310166,-21748.410504631458
0.06,-19801.696835383533,-19615.478829812015,-19575.68452947647,-22187.551740909286
0.1,-19645.994680918924,-19445.001189945593,-19423.364135703137,-21973.832040655565
0.3,-18913.901471515102,-18790.616092693333,-18759.563580890102,-20700.926244468632
0.6,-17789.042612707126,-17687.059954072833,-17608.312686275178,-19629.348032209633
1.0,-16905.404848437283,-16805.301599859427,-16710.038190265102,-18663.62375133041
3.0,-9692.999127765102,-9652.378683759674,-9507.657330890102,-11271.346338528389
6.0,-6360.035153461465,-6322.7339889918485,-6192.756679878309,-7996.440744607494
